group,seed,finish1,finish2
A,1,5349.941332195736,4387.61765164331
A,2,3449.9456904625017,3449.9456904625017
A,3,4277.37587362022,4277.37587362022
A,4,6152.766470230086,5190.44278967766
B,1,4284.786567782778,4213.424465556594
B,2,9093.492191613374,7628.845337329012
B,3,3571.3590870626576,2106.712232778297
B,4,7620.839637439172,7549.477535212989
C,1,3662.046128598095,4672.222062596164
C,2,4599.084811496119,4880.403096080659
C,3,3315.1211703096815,3596.4394548942223
C,4,4228.821364649905,5238.997298647973
D,1,4227.286059222264,4521.05152274834
D,2,8069.978254521333,8486.692298413867
D,3,10919.301600797604,11336.015644690138
D,4,4463.912607803093,4757.678071329169
E,1,8034.9456182937665,8395.720239766566
E,2,8096.185510941872,8159.1556558673565
E,3,8218.729811526646,8281.69995645213
E,4,8132.8848737551725,8493.659495227972
F,1,4959.609486364445,2891.5018157246004
F,2,8998.304247329881,6725.266395406058
F,3,5961.452722557064,3688.4148706332417
F,4,8916.409491932585,6848.301821292742
G,1,7782.375081546039,7454.41888764266
G,2,8569.249200295111,8334.764208833632
G,3,7843.677677249898,7609.192685788417
G,4,9446.298518303096,9118.342324399717
H,1,3533.567194218537,5379.27150355849
H,2,6219.344049546133,7248.44652541176
H,3,6725.266395406058,7754.368871271687
H,4,4850.455491294141,6696.159800634092
